Number of Required CFS,Size,Dissimilarity Distance,Dissimilarity Count,Actionability,Diversity Distance,Diversity Count,Runtime (in seconds)
1,1.0,0.4101873638344226,0.55,0.0,0.0,0.0,0.1607876580001175
2,1.0,0.6411453470276999,0.5,1.0,0.28664799253034545,0.06557377049180328,0.1974533649990917
3,1.0,0.5641593526299408,0.5166666666666667,0.6666666666666666,0.39824324791645055,0.08743169398907104,0.2393920330014225
4,1.0,0.5952197323373793,0.5375,0.5,0.5000751633986928,0.1168032786885246,0.2791919789997337
5,1.0,0.7200908807967631,0.5,0.4,0.5673441643323995,0.12327868852459016,0.319314143000156
6,1.0,0.596033613445378,0.5583333333333333,0.3333333333333333,0.5492926652142338,0.14845173041894352,0.3623856869999144
7,1.0,0.6491739807033925,0.5,0.5714285714285714,0.5706576217788702,0.16661090665774506,24.136239309000302
8,1.0,0.6605455960161842,0.48125,0.75,0.5545504201680673,0.14344262295081966,26.873044660000232
9,0.8888888888888888,0.6106830065359476,0.50625,0.4444444444444444,0.5560740351696234,0.13370901639344263,0.5070024850010668
10,0.8,0.6743630563336445,0.5125,0.4,0.6106271786492374,0.1557377049180328,0.5474148550001701
11,1.0,0.6927493421611067,0.4909090909090909,0.6363636363636364,0.6541243964987281,0.15716027638531363,0.5778834980010288
12,0.9166666666666666,0.6406810966810966,0.48636363636363633,0.5,0.6056188881429523,0.14632163663460235,0.6176012579999224
13,1.0,0.7297410998587469,0.49615384615384617,0.5384615384615384,0.7039978489752245,0.181006887185954,40.49267903399959
14,1.0,0.7915836556844961,0.4928571428571429,0.5714285714285714,0.7441711160654739,0.17681498829039813,43.21924180899987
15,1.0,0.7347602033405956,0.5166666666666667,0.4,0.6800203285264724,0.17879781420765029,46.28393657500055
16,1.0,0.667115001556178,0.4875,0.625,0.6716938803299097,0.15560963114754098,0.783462856999904
17,0.9411764705882353,0.7284456115779645,0.509375,0.5294117647058824,0.6911569308278868,0.17392418032786885,0.823050109000178
18,1.0,0.7393971020506966,0.4805555555555555,0.6666666666666666,0.7424938117908344,0.1589759158065169,0.8655937049989006
19,1.0,0.7611355185348994,0.47631578947368425,0.7368421052631579,0.7462418274789141,0.16756732210163025,57.2900332499994
20,0.9,0.6624036379984092,0.5222222222222223,0.6,0.7231780844024853,0.17223234163124873,61.48118055000123
